year	value	sec	name
31-Dec-1925	23	10	Alfredo Gomes
31-Dec-1926	22	32	Jorge Mancebo
31-Dec-1927	23	00	Heitor Blasi
31-Dec-1928	29	11	Salim Maluf
31-Dec-1929	29	11	Heitor Blasi
31-Dec-1930	25	35	Murilo de Araújo
31-Dec-1931	26 	05	José Agnello
31-Dec-932	25	23	Nestor Gomes
31-Dec-1933	25	50	Nestor Gomes
31-Dec-1934	24	10	Alfredo Carletti
31-Dec-1935	25	51	Nestor Gomes
31-Dec-1936	23	38	Mario Oliveira
31-Dec-1937	23	26	Mario Oliveira
31-Dec-1938	23	38	Armando Martins
31-Dec-1939	24	50	Luiz Del Greco
31-Dec-1940	23	14	Antônio Alves
31-Dec-1941	22	12	José Tibúrcio dos Santos	
31-Dec-1942	17	02	Joaquim Gonçalves de Silva
31-Dec-1943	17	31	Joaquim Gonçalves de Silva
31-Dec-1944	17	40	Joaquim Gonçalves de Silva
31-Dec-1945	21	54	Sebastião Alves Monteiro
31-Dec-1946	21	54	Sebastião Alves Monteiro
31-Dec-1947	21	45	Oscar Moreira
31-Dec-1948	22	18	Raul Inostroza
31-Dec-1949	22	45	Viljo Heino
31-Dec-1950	22	37	Lucien Theys
31-Dec-1951	22	26	Erik Krucziky
31-Dec-1952	21	38	Franjo Mihalic
31-Dec-1953	20	30	Emil Zatopek
31-Dec-1954	21	51	Franjo Mihalic
31-Dec-1955	22	18	Kenneth Norris
31-Dec-1956	21	58	Manoel Faria
31-Dec-1957	21	37	Manoel Faria
31-Dec-1958	21	40	Osvaldo Suarez
31-Dec-1959	21	55	Osvaldo Suarez
31-Dec-1960	22	02	Osvaldo Suarez
31-Dec-1961	21	24	Martin Hyman
31-Dec-1962	22	08	Hamoud Ameur
31-Dec-1963	21	55	Henry Clerckx
31-Dec-1964	21	37	Gaston Roelants	
31-Dec-1965	21	20	Gaston Roelants
31-Dec-1966	29	57	Alvaro Mejia Flores
31-Dec-1967	24	31	Gaston Roelants	
31-Dec-1968	24	32	Gaston Roelants
31-Dec-1969	24	02	Juan Martinez
31-Dec-1970	24	27	Frank Shorter
31-Dec-1971	23	47	Rafael Tadeo Palomares
31-Dec-1972	23	24	Victor Mora
31-Dec-1973	23	25	Victor Mora
31-Dec-1974	23	58	Rafael Angel Perez
31-Dec-1975	23	13	Victor Mora
31-Dec-1976	23	50	Edmundo Warnke
31-Dec-1977	23	55	Domingo Tibaduiza
31-Dec-1978	23	51	Radhouane Bouster
31-Dec-1979	23	26	Herb Lindasy
31-Dec-1980	23	40	José João da Silva
31-Dec-1981	23	30	Victor Mora
31-Dec-1982	39	41	Carlos Lopes
31-Dec-1983	37	39	João da Mata	
31-Dec-1984	36	43	Carlos Lopes
31-Dec-1985	36	48	José João da Silva
31-Dec-1986	36	45	Rolando Vera
31-Dec-1987	39	02	Rolando Vera
31-Dec-1988	36	23	Rolando Vera
31-Dec-1989	36	45	Rolando Vera
31-Dec-1990	35	58	Arturo Barrios
31-Dec-1991	44	04	Arturo Barrios
31-Dec-1992	44	08	Simon Chemwoyo
31-Dec-1993	43	20	Simon Chemwoyo
31-Dec-1994	44	11	Ronaldo Costa
31-Dec-1995	43	12	Paul Tergat
31-Dec-1996	43	50	Paul Tergat
31-Dec-1997	44	40	Émerson Iser Bem
31-Dec-1998	44	47	Paul Tergat
31-Dec-1999	44	35	Paul Tergat
31-Dec-2000	43	57	Paul Tergat
31-Dec-2001	44	15	Tesfaye Jifar
31-Dec-2002	44	59	Robert Cheruiyot
31-Dec-2003	43	49	Marílson Gomes dos Santos
31-Dec-2004	44	43	Robert Cheruiyot
31-Dec-2005	44	19	Marilson Gomes dos Santos
31-Dec-2006	44	06	Franck Caldeira
31-Dec-2007	44	54	Robert Cheruiyot
31-Dec-2008	44	42	James Kipsang
31-Dec-2009	44	40	James Kipsang
31-Dec-2010	44	07	Marilson Gomes dos Santos
31-Dec-2011	43	35	Tariku Bekele
31-Dec-2012	44	05	Edwin Kipsang
31-Dec-2013	43	47	Edwin Kipsang
